show_id,type,title,director,cast_members,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Quiet City,Nina Petrova,"Ivan Singh, Meera Petrov, Kenji Silva, Arjun Smith","Japan, Spain","March 02, 2022",2021,TV-MA,147 min,"Music & Musicals, Sci-Fi & Fantasy, Kids' TV",A gripping story about family set against the backdrop of a war-torn nation.
s2,TV Show,Age Academy,Nina Petrova,"Diego Reddy, Fatima Torres","India, Germany","January 07, 2019",2008,PG-13,2 Seasons,"Thrillers, Horror Movies, Music & Musicals",Follow the lives of a group of detectives as they navigate political intrigue.
s3,Movie,Golden Storm,Tom Wilson,"Liam Garcia, Priya Nair, Rahul Wilson, Sophia Kapoor, Amara Smith",France,"August 22, 2019",2015,TV-Y7,135 min,Reality TV,A gripping story about ambition set against the backdrop of the high seas.
s4,Movie,Shadow River,Michael Brown,"Liam Diallo, Liam Kobayashi, Ivan Smith",United Kingdom,"May 26, 2022",2005,TV-G,77 min,"Thrillers, Kids' TV",A gripping story about hope set against the backdrop of a bustling city.
s5,Movie,Eternal Signal,Grace Lee,"Carlos Khan, Amara Singh, Sophia Rossi, Diego Diallo",Egypt,"May 13, 2015",2001,TV-G,104 min,"Romantic Movies, Stand-Up Comedy",A gripping story about betrayal set against the backdrop of a forgotten era.
s6,Movie,Forgotten Legacy,Grace Lee,"Fatima Smith, Diego Silva, Lucas Kobayashi, Diego Torres",Germany,"June 12, 2022",2017,TV-Y,153 min,"Comedies, Stand-Up Comedy",A gripping story about ambition set against the backdrop of a war-torn nation.
s7,Movie,Frozen Voyage,Aarav Mehta,"Sophia Chen, Priya Rossi, Olivia Khan, Liam Torres",United States,"May 31, 2018",2013,TV-G,73 min,Comedies,A gripping story about ambition set against the backdrop of the high seas.
s8,Movie,Crimson Chronicles,Priya Sharma,"Amara Khan, Hana Kapoor, Arjun Diallo, Arjun Kapoor, Lucas Muller","France, United States","August 19, 2020",2017,TV-Y7,151 min,"Comedies, Music & Musicals",A gripping story about survival set against the backdrop of a bustling city.
s9,Movie,Forgotten Dream,Sofia Rossi,"Aisha Petrov, Liam Torres, Hana Nair",Mexico,"October 23, 2022",1998,TV-Y7,75 min,"International Movies, Documentaries, Action & Adventure",A gripping story about love set against the backdrop of a small town.
s10,Movie,Forgotten Storm,Tom Wilson,"Sophia Chen, Amara Brown",India,"December 23, 2024",2020,TV-14,108 min,"Thrillers, Music & Musicals",A gripping story about ambition set against the backdrop of a war-torn nation.
s11,Movie,Secret Storm,Ahmed Hassan,"Kenji Torres, Kenji Novak, Hana Rossi",Mexico,"March 16, 2018",2012,PG-13,103 min,"Romantic Movies, Music & Musicals",A gripping story about betrayal set against the backdrop of a bustling city.
s12,TV Show,Case Court,Ravi Shah,"Carlos Muller, Noah Chen, Sophia Kapoor, Arjun Novak, Meera Singh",France,"August 31, 2022",2022,R,3 Seasons,"Stand-Up Comedy, Dramas",Follow the lives of a group of friends as they navigate a changing world.
s13,TV Show,Age Sisters,Ana Silva,"Liam Nair, Priya Brown","Germany, Canada","May 05, 2022",2018,TV-G,1 Season,"Romantic Movies, Stand-Up Comedy",Follow the lives of a group of detectives as they navigate personal crises.
s14,Movie,Midnight Empire,James Cooper,"Noah Chen, Noah Reddy, Isabella Johnson",United States,"June 16, 2018",2000,TV-G,104 min,"Anime Series, Thrillers",A gripping story about betrayal set against the backdrop of a bustling city.
s15,Movie,Last City,Wong Kar Lin,"Rahul Nair, Wei Nair","United Kingdom, Italy","January 10, 2017",2014,TV-Y,168 min,"Reality TV, Horror Movies",A gripping story about love set against the backdrop of a forgotten era.
s16,Movie,Frozen Garden,Ravi Shah,"Kenji Rossi, Lucas Novak","Spain, Mexico","June 14, 2021",2001,PG-13,71 min,"Romantic Movies, International Movies, Horror Movies",A gripping story about survival set against the backdrop of a distant future.
s17,TV Show,Case Squad,Aarav Mehta,"Aisha Khan, Wei Nair, Hana Smith","Japan, Brazil","April 20, 2019",2023,TV-MA,7 Seasons,Kids' TV,Follow the lives of a royal family as they navigate a changing world.
s18,TV Show,House Squad,Priya Sharma,"Elena Garcia, Noah Novak, Meera Brown, Wei Smith",Egypt,"December 13, 2016",2011,TV-MA,7 Seasons,"Stand-Up Comedy, Horror Movies, Kids' TV",Follow the lives of a group of friends as they navigate high-stakes competition.
s19,Movie,Eternal Kingdom,Wong Kar Lin,"Isabella Chen, Amara Singh","Germany, Italy","September 12, 2018",2000,TV-14,125 min,"Romantic Movies, Stand-Up Comedy, Sci-Fi & Fantasy",A gripping story about hope set against the backdrop of a war-torn nation.
s20,Movie,Eternal Valley,Michael Brown,"Elena Diallo, Liam Petrov","Mexico, Egypt, United States","December 18, 2016",2008,TV-Y7,106 min,"Music & Musicals, Dramas",A gripping story about hope set against the backdrop of a forgotten era.
s21,Movie,Last Signal,Yuki Tanaka,"Aisha Chen, Isabella Singh, Meera Brown",Canada,"August 25, 2022",2016,PG-13,140 min,Romantic Movies,A gripping story about hope set against the backdrop of the high seas.
s22,Movie,Sacred Kingdom,Nina Petrova,"Wei Reddy, Kenji Nair, Wei Garcia, Liam Petrov",Nigeria,"October 31, 2022",2019,TV-Y7,119 min,"Crime TV Shows, Reality TV",A gripping story about betrayal set against the backdrop of a distant future.
s23,TV Show,Chronicles Republic,,"Rahul Nair, Noah Muller, Fatima Kapoor, Elena Kapoor",United States,"January 26, 2024",2016,TV-G,5 Seasons,"Anime Series, Crime TV Shows",Follow the lives of a royal family as they navigate personal crises.
s24,Movie,Lost Fortress,Wong Kar Lin,"Sophia Chen, Diego Silva, Priya Brown, Hana Silva",Brazil,"December 08, 2016",2006,TV-G,169 min,Anime Series,A gripping story about revenge set against the backdrop of a war-torn nation.
s25,Movie,Secret Valley,Ahmed Hassan,"Elena Silva, Lucas Torres, Ivan Garcia, Olivia Kobayashi, Meera Singh","Italy, Egypt","May 03, 2022",1998,TV-G,81 min,"Kids' TV, Dramas",A gripping story about betrayal set against the backdrop of a forgotten era.
s26,TV Show,Life Brothers,Yuki Tanaka,"Aisha Johnson, Sophia Brown, Lucas Nair",Australia,"March 11, 2016",2024,TV-G,5 Seasons,"Crime TV Shows, Documentaries",Follow the lives of young rebels as they navigate high-stakes competition.
s27,Movie,Distant Promise,Aarav Mehta,"Hana Torres, Sophia Smith, Aisha Novak",Germany,"August 28, 2021",2006,TV-14,76 min,"Kids' TV, Documentaries, Crime TV Shows",A gripping story about love set against the backdrop of a war-torn nation.
